_runtime,train_batch2,PR_curve,val/dfl_loss,curves/F1-Confidence(B)_table,P_curve,_step,results,lr/pg0,val_batch0_pred,labels,_timestamp,val_batch0_labels,R_curve,train/cls_loss,model/speed_PyTorch(ms),train_batch0,F1_curve,confusion_matrix_normalized,lr/pg1,val_batch2_pred,val_batch2_labels,val/box_loss,model/parameters,train/box_loss,curves/Precision-Confidence(B)_table,model/GFLOPs,metrics/precision(B),val/cls_loss,val_batch1_pred,curves/Precision-Recall(B)_table,train_batch1,metrics/mAP50(B),train/dfl_loss,lr/pg2,curves/Recall-Confidence(B)_table,val_batch1_labels,confusion_matrix,metrics/recall(B),metrics/mAP50-95(B),variant,seed,run_name,epoch
1571.648734232,,,2.07199,,,44,,0.00030649045224564434,,,1779988861.9825256,,,0.95063,,,,,0.00030649045224564434,,,1.57396,,1.20265,,,0.69079,1.25222,,,,0.688,1.59774,0.00030649045224564434,,,,0.65595,0.39251,cbam,42,cbam_seed42,44
1605.90693169,,,2.05056,,,45,,0.00029887687535996686,,,1779988896.20469,,,0.9419,,,,,0.00029887687535996686,,,1.53933,,1.18184,,,0.73407,1.18319,,,,0.71103,1.57017,0.00029887687535996686,,,,0.65359,0.42188,cbam,42,cbam_seed42,45
1641.562278701,,,2.07961,,,46,,0.00029121753009745717,,,1779988931.8778844,,,0.93632,,,,,0.00029121753009745717,,,1.5627,,1.18183,,,0.75921,1.23147,,,,0.68207,1.57767,0.00029121753009745717,,,,0.62441,0.39583,cbam,42,cbam_seed42,46
1676.303730949,,,2.04102,,,47,,0.00028351997530716536,,,1779988966.0439048,,,0.92165,,,,,0.00028351997530716536,,,1.53759,,1.15743,,,0.72765,1.19179,,,,0.70768,1.55839,0.00028351997530716536,,,,0.6637,0.41315,cbam,42,cbam_seed42,47
1710.606523967,,,2.07422,,,48,,0.00027579180754633227,,,1779989000.8206358,,,0.91467,,,,,0.00027579180754633227,,,1.55731,,1.1543,,,0.7154,1.21212,,,,0.6892,1.56024,0.00027579180754633227,,,,0.64023,0.40048,cbam,42,cbam_seed42,48
1745.864187731,,,2.14758,,,49,,0.0002680406535835051,,,1779989035.293406,,,0.88659,,,,,0.0002680406535835051,,,1.60286,,1.14812,,,0.71893,1.17687,,,,0.68561,1.54749,0.0002680406535835051,,,,0.65552,0.39171,cbam,42,cbam_seed42,49
1780.74606975,,,2.05822,,,50,,0.0002602741628718368,,,1779989070.5360146,,,0.88651,,,,,0.0002602741628718368,,,1.54175,,1.14353,,,0.71821,1.18467,,,,0.69732,1.54584,0.0002602741628718368,,,,0.66248,0.40605,cbam,42,cbam_seed42,50
1815.544401987,,,2.05825,,,51,,0.00025250000000000007,,,1779989105.3247473,,,0.89122,,,,,0.00025250000000000007,,,1.56606,,1.13207,,,0.72118,1.18275,,,,0.70219,1.54776,0.00025250000000000007,,,,0.64733,0.40823,cbam,42,cbam_seed42,51
1852.351182724,,,2.10032,,,52,,0.0002447258371281633,,,1779989142.216217,,,0.89164,,,,,0.0002447258371281633,,,1.57228,,1.13188,,,0.72034,1.20619,,,,0.68896,1.53401,0.0002447258371281633,,,,0.64741,0.39863,cbam,42,cbam_seed42,52
1889.129302085,,,2.11973,,,53,,0.0002369593464164949,,,1779989176.9810266,,,0.83796,,,,,0.0002369593464164949,,,1.55646,,1.09231,,,0.74908,1.15204,,,,0.70855,1.50949,0.0002369593464164949,,,,0.65567,0.40978,cbam,42,cbam_seed42,53
1926.165649779,,,2.08226,,,54,,0.0002292081924536677,,,1779989213.7683625,,,0.83549,,,,,0.0002292081924536677,,,1.55039,,1.08367,,,0.73137,1.17299,,,,0.70667,1.50363,0.0002292081924536677,,,,0.65345,0.41691,cbam,42,cbam_seed42,54
1960.963932623,,,2.09153,,,55,,0.0002214800246928347,,,1779989250.7932768,,,0.81954,,,,,0.0002214800246928347,,,1.56132,,1.08156,,,0.69988,1.18827,,,,0.69453,1.49425,0.0002214800246928347,,,,0.65617,0.40086,cbam,42,cbam_seed42,55
1997.179659741,,,2.08872,,,56,,0.0002137824699025429,,,1779989287.1123621,,,0.81703,,,,,0.0002137824699025429,,,1.55703,,1.0601,,,0.75931,1.1755,,,,0.71033,1.48592,0.0002137824699025429,,,,0.63855,0.41304,cbam,42,cbam_seed42,56
2031.816797336,,,2.10836,,,57,,0.0002061231246400332,,,1779989321.7610095,,,0.80428,,,,,0.0002061231246400332,,,1.56545,,1.06246,,,0.71411,1.16205,,,,0.71155,1.49154,0.0002061231246400332,,,,0.66998,0.41153,cbam,42,cbam_seed42,57
2066.439914089,,,2.07919,,,58,,0.00019850954775435582,,,1779989356.4014466,,,0.79336,,,,,0.00019850954775435582,,,1.55812,,1.05086,,,0.70494,1.17874,,,,0.69791,1.45984,0.00019850954775435582,,,,0.66846,0.41447,cbam,42,cbam_seed42,58
2100.9691715,,,2.12067,,,59,,0.00019094925292669846,,,1779989390.996229,,,0.77885,,,,,0.00019094925292669846,,,1.56218,,1.03098,,,0.70092,1.17301,,,,0.70293,1.45412,0.00019094925292669846,,,,0.67695,0.41347,cbam,42,cbam_seed42,59
2137.33228527,,,2.1265,,,60,,0.0001834497012552908,,,1779989427.373594,,,0.76778,,,,,0.0001834497012552908,,,1.563,,1.03719,,,0.71392,1.17231,,,,0.71122,1.46869,0.0001834497012552908,,,,0.67547,0.41409,cbam,42,cbam_seed42,60
2171.879893645,,,2.1286,,,61,,0.00017601829389220065,,,1779989461.919546,,,0.77863,,,,,0.00017601829389220065,,,1.58142,,1.03008,,,0.7024,1.20735,,,,0.69368,1.4699,0.00017601829389220065,,,,0.65825,0.40961,cbam,42,cbam_seed42,61
2206.471956572,,,2.15174,,,62,,0.00016866236473929043,,,1779989496.4312413,,,0.75304,,,,,0.00016866236473929043,,,1.57614,,1.00742,,,0.72117,1.15725,,,,0.69607,1.43691,0.00016866236473929043,,,,0.6614,0.40646,cbam,42,cbam_seed42,62
