labels,confusion_matrix_normalized,curves/Precision-Recall(B)_table,train/dfl_loss,metrics/mAP50-95(B),train_batch0,train_batch6571,confusion_matrix,PR_curve,lr/pg1,metrics/recall(B),model/speed_PyTorch(ms),curves/Precision-Confidence(B)_table,curves/Recall-Confidence(B)_table,P_curve,train_batch6572,val_batch0_pred,val/dfl_loss,lr/pg0,results,train_batch6570,_step,train/cls_loss,train/box_loss,metrics/mAP50(B),val_batch2_labels,lr/pg2,val_batch1_pred,train_batch1,val_batch0_labels,val/cls_loss,val/box_loss,_runtime,R_curve,model/parameters,model/GFLOPs,F1_curve,train_batch2,val_batch2_pred,metrics/precision(B),val_batch1_labels,curves/F1-Confidence(B)_table,_timestamp,variant,seed,run_name,epoch
,,,1.9146,0.36301,,,,,0.00041026243746280074,0.61503,,,,,,,2.22346,0.00041026243746280074,,,29,1.27785,1.35136,0.64209,,0.00041026243746280074,,,,1.44535,1.53249,1461.499449157,,,,,,,0.67463,,,1780001082.160878,p2,1337,p2_seed1337,29
,,,1.90524,0.36896,,,,,0.0004041944957791117,0.62436,,,,,,,2.26706,0.0004041944957791117,,,30,1.24025,1.33875,0.65431,,0.0004041944957791117,,,,1.39514,1.58094,1508.77808742,,,,,,,0.67319,,,1780001131.0974114,p2,1337,p2_seed1337,30
,,,1.89468,0.38447,,,,,0.00039797684994238717,0.6321,,,,,,,2.21248,0.00039797684994238717,,,31,1.22692,1.33546,0.67031,,0.00039797684994238717,,,,1.40331,1.55095,1557.528743845,,,,,,,0.69651,,,1780001179.381017,p2,1337,p2_seed1337,31
,,,1.88345,0.38359,,,,,0.00039161563601840233,0.61534,,,,,,,2.20698,0.00039161563601840233,,,32,1.21131,1.31286,0.67685,,0.00039161563601840233,,,,1.44438,1.53175,1604.946183613,,,,,,,0.69973,,,1780001227.0557024,p2,1337,p2_seed1337,32
,,,1.87627,0.38871,,,,,0.00038511713175730166,0.65263,,,,,,,2.19936,0.00038511713175730166,,,33,1.18667,1.30507,0.67414,,0.00038511713175730166,,,,1.32561,1.52917,1654.498791733,,,,,,,0.70549,,,1780001274.4141297,p2,1337,p2_seed1337,33
,,,1.87376,0.38713,,,,,0.00037848775039821687,0.65853,,,,,,,2.20953,0.00037848775039821687,,,34,1.16695,1.30446,0.6817,,0.00037848775039821687,,,,1.31922,1.54515,1702.221874347,,,,,,,0.68862,,,1780001323.9266005,p2,1337,p2_seed1337,34
,,,1.85081,0.41534,,,,,0.0003717340343401745,0.65558,,,,,,,2.18758,0.0003717340343401745,,,35,1.15148,1.28308,0.70477,,0.0003717340343401745,,,,1.30392,1.53578,1753.471690742,,,,,,,0.70621,,,1780001372.6381106,p2,1337,p2_seed1337,35
,,,1.84901,0.40735,,,,,0.0003648626486855379,0.66683,,,,,,,2.21792,0.0003648626486855379,,,36,1.12813,1.27201,0.70152,,0.0003648626486855379,,,,1.29409,1.53967,1801.591339251,,,,,,,0.69977,,,1780001423.2946982,p2,1337,p2_seed1337,36
,,,1.82977,0.3936,,,,,0.00035788037466235543,0.65403,,,,,,,2.21532,0.00035788037466235543,,,37,1.1144,1.26058,0.68179,,0.00035788037466235543,,,,1.29805,1.5432,1851.017207026,,,,,,,0.67193,,,1780001471.1783903,p2,1337,p2_seed1337,37
,,,1.82305,0.39739,,,,,0.0003507941029321082,0.66112,,,,,,,2.25044,0.0003507941029321082,,,38,1.10468,1.24465,0.68897,,0.0003507941029321082,,,,1.27942,1.55063,1898.478358051,,,,,,,0.68147,,,1780001520.491121,p2,1337,p2_seed1337,38
