train_batch2,curves/F1-Confidence(B)_table,curves/Precision-Confidence(B)_table,metrics/mAP50-95(B),val_batch2_labels,results,val_batch0_pred,curves/Recall-Confidence(B)_table,model/parameters,labels,train/dfl_loss,val/dfl_loss,confusion_matrix_normalized,train_batch6571,lr/pg0,metrics/recall(B),metrics/precision(B),P_curve,train_batch0,val/cls_loss,R_curve,val_batch1_pred,val_batch0_labels,model/GFLOPs,metrics/mAP50(B),val/box_loss,F1_curve,train_batch1,val_batch2_pred,train_batch6572,_step,train/cls_loss,_runtime,_timestamp,confusion_matrix,lr/pg2,model/speed_PyTorch(ms),lr/pg1,PR_curve,train_batch6570,curves/Precision-Recall(B)_table,train/box_loss,val_batch1_labels,variant,seed,run_name,epoch
,,,0.41752,,,,,,,5.46949,7.12315,,,0.0002214800246928347,0.6382,0.7155,,,1.18237,,,,,0.70269,5.87344,,,,,55,1.02791,1915.711769235,1780016990.1685517,,0.0002214800246928347,,0.0002214800246928347,,,,4.3503,,sizeaware,2024,sizeaware_seed2024,55
,,,0.41409,,,,,,,5.46188,7.17097,,,0.0002137824699025429,0.63774,0.71161,,,1.21726,,,,,0.69846,5.88205,,,,,56,1.01892,1954.123306624,1780017023.7636445,,0.0002137824699025429,,0.0002137824699025429,,,,4.25888,,sizeaware,2024,sizeaware_seed2024,56
,,,0.416,,,,,,,5.43425,7.19282,,,0.0002061231246400332,0.64477,0.72515,,,1.18268,,,,,0.70205,5.87631,,,,,57,1.01588,1988.749858317,1780017063.373775,,0.0002061231246400332,,0.0002061231246400332,,,,4.24944,,sizeaware,2024,sizeaware_seed2024,57
,,,0.42249,,,,,,,5.33612,7.1542,,,0.00019850954775435582,0.64125,0.71813,,,1.1711,,,,,0.70256,5.93222,,,,,58,0.98874,2022.210138678,1780017096.8268723,,0.00019850954775435582,,0.00019850954775435582,,,,4.19938,,sizeaware,2024,sizeaware_seed2024,58
,,,0.41204,,,,,,,5.33966,7.32699,,,0.00019094925292669846,0.63855,0.73047,,,1.17724,,,,,0.69667,6.00986,,,,,59,0.95533,2055.563854338,1780017130.239916,,0.00019094925292669846,,0.00019094925292669846,,,,4.15571,,sizeaware,2024,sizeaware_seed2024,59
,,,0.41541,,,,,,,5.34041,7.36138,,,0.0001834497012552908,0.63421,0.72427,,,1.1742,,,,,0.70308,6.04141,,,,,60,0.95447,2090.756438234,1780017165.3528519,,0.0001834497012552908,,0.0001834497012552908,,,,4.12773,,sizeaware,2024,sizeaware_seed2024,60
,,,0.41698,,,,,,,5.41745,7.33557,,,0.00017601829389220065,0.63636,0.74004,,,1.15899,,,,,0.70088,5.94924,,,,,61,0.98274,2125.118825362,1780017199.1337166,,0.00017601829389220065,,0.00017601829389220065,,,,4.13227,,sizeaware,2024,sizeaware_seed2024,61
,,,0.41719,,,,,,,5.28404,7.40563,,,0.00016866236473929043,0.65428,0.71005,,,1.18791,,,,,0.69974,5.98823,,,,,62,0.95588,2159.158867502,1780017233.3919876,,0.00016866236473929043,,0.00016866236473929043,,,,4.03226,,sizeaware,2024,sizeaware_seed2024,62
,,,0.42049,,,,,,,5.27612,7.33898,,,0.00016138917321054225,0.64048,0.74067,,,1.133,,,,,0.70956,5.93986,,,,,63,0.94017,2192.722968598,1780017267.2589402,,0.00016138917321054225,,0.00016138917321054225,,,,4.04461,,sizeaware,2024,sizeaware_seed2024,63
,,,0.41419,,,,,,,5.24542,7.42695,,,0.0001542058970678918,0.66258,0.70309,,,1.17112,,,,,0.69903,6.02654,,,,,64,0.92615,2226.097396374,1780017300.7135062,,0.0001542058970678918,,0.0001542058970678918,,,,4.00162,,sizeaware,2024,sizeaware_seed2024,64
