results,curves/Precision-Recall(B)_table,_step,PR_curve,_runtime,train_batch3330,val_batch1_labels,val_batch0_pred,lr/pg2,metrics/recall(B),train/dfl_loss,P_curve,val/box_loss,train_batch0,curves/F1-Confidence(B)_table,val_batch2_labels,train_batch3331,train/box_loss,metrics/mAP50(B),model/GFLOPs,val/dfl_loss,model/speed_PyTorch(ms),lr/pg1,labels,R_curve,model/parameters,curves/Precision-Confidence(B)_table,metrics/mAP50-95(B),train_batch1,F1_curve,val/cls_loss,train_batch3332,metrics/precision(B),curves/Recall-Confidence(B)_table,train_batch2,val_batch0_labels,confusion_matrix_normalized,train/cls_loss,confusion_matrix,val_batch1_pred,lr/pg0,val_batch2_pred,_timestamp,variant,seed,run_name,epoch
,,27,,450.246608635,,,,0.0004219254087173504,0.51222,1.90126,,1.73523,,,,,1.66765,0.55571,,2.07681,,0.0004219254087173504,,,,,0.2865,,,1.7491,,0.64159,,,,,1.75101,,,0.0004219254087173504,,1780036480.9445872,distill,2024,distill_seed2024,27
,,28,,464.087730273,,,,0.0004161746866676038,0.49253,1.89559,,1.78486,,,,,1.66056,0.49904,,2.14003,,0.0004161746866676038,,,,,0.2557,,,1.87267,,0.55358,,,,,1.74681,,,0.0004161746866676038,,1780036494.760712,distill,2024,distill_seed2024,28
,,29,,476.972458421,,,,0.00041026243746280074,0.55336,1.88931,,1.6885,,,,,1.65159,0.57818,,2.048,,0.00041026243746280074,,,,,0.30625,,,1.65675,,0.62875,,,,,1.74157,,,0.00041026243746280074,,1780036507.9102592,distill,2024,distill_seed2024,29
,,30,,490.151698389,,,,0.0004041944957791117,0.55889,1.86831,,1.70085,,,,,1.61783,0.58451,,2.03709,,0.0004041944957791117,,,,,0.31181,,,1.65617,,0.64283,,,,,1.6957,,,0.0004041944957791117,,1780036521.278494,distill,2024,distill_seed2024,30
,,31,,503.34155059,,,,0.00039797684994238717,0.54299,1.85664,,1.68876,,,,,1.61944,0.57599,,2.03833,,0.00039797684994238717,,,,,0.30743,,,1.64783,,0.62538,,,,,1.69216,,,0.00039797684994238717,,1780036534.5498521,distill,2024,distill_seed2024,31
,,32,,515.810644122,,,,0.00039161563601840233,0.52562,1.85965,,1.738,,,,,1.62197,0.57316,,2.07621,,0.00039161563601840233,,,,,0.29622,,,1.71267,,0.63385,,,,,1.68331,,,0.00039161563601840233,,1780036546.9272268,distill,2024,distill_seed2024,32
,,33,,528.453956391,,,,0.00038511713175730166,0.52355,1.859,,1.70323,,,,,1.60837,0.58574,,2.03174,,0.00038511713175730166,,,,,0.30998,,,1.63659,,0.64078,,,,,1.68078,,,0.00038511713175730166,,1780036559.525855,distill,2024,distill_seed2024,33
,,34,,542.28029435,,,,0.00037848775039821687,0.53619,1.8491,,1.76037,,,,,1.6138,0.5508,,2.11232,,0.00037848775039821687,,,,,0.28072,,,1.72169,,0.58549,,,,,1.63375,,,0.00037848775039821687,,1780036573.1806238,distill,2024,distill_seed2024,34
,,35,,555.57755563,,,,0.0003717340343401745,0.56413,1.83906,,1.68966,,,,,1.59576,0.60844,,2.02077,,0.0003717340343401745,,,,,0.32265,,,1.61992,,0.6342,,,,,1.63724,,,0.0003717340343401745,,1780036586.6397753,distill,2024,distill_seed2024,35
,,36,,569.135598782,,,,0.0003648626486855379,0.55462,1.83313,,1.69377,,,,,1.5851,0.57167,,2.03143,,0.0003648626486855379,,,,,0.30209,,,1.65054,,0.6181,,,,,1.62893,,,0.0003648626486855379,,1780036600.1446614,distill,2024,distill_seed2024,36
