train_batch0,_step,confusion_matrix,metrics/mAP50(B),_timestamp,curves/F1-Confidence(B)_table,train_batch2,PR_curve,val_batch0_labels,val/cls_loss,metrics/precision(B),val_batch0_pred,P_curve,train_batch1,train/dfl_loss,confusion_matrix_normalized,model/parameters,labels,F1_curve,_runtime,model/GFLOPs,train/cls_loss,lr/pg0,val/dfl_loss,lr/pg1,val_batch2_labels,val_batch2_pred,train/box_loss,train_batch3330,train_batch3331,val_batch1_labels,results,curves/Precision-Recall(B)_table,lr/pg2,curves/Precision-Confidence(B)_table,val/box_loss,metrics/recall(B),curves/Recall-Confidence(B)_table,R_curve,metrics/mAP50-95(B),val_batch1_pred,model/speed_PyTorch(ms),train_batch3332,variant,seed,run_name,epoch
,27,,0.56663,1780035019.4351242,,,,,1.73673,0.64046,,,,1.90249,,,,,435.745917122,,1.7475,0.0004219254087173504,2.08619,0.0004219254087173504,,,1.66613,,,,,,0.0004219254087173504,,1.74395,0.53058,,,0.28718,,,,distill,1337,distill_seed1337,27
,28,,0.53408,1780035031.9243124,,,,,1.78128,0.6248,,,,1.90222,,,,,448.323988778,,1.73606,0.0004161746866676038,2.06345,0.0004161746866676038,,,1.66049,,,,,,0.0004161746866676038,,1.71453,0.50592,,,0.28224,,,,distill,1337,distill_seed1337,28
,29,,0.56748,1780035044.329294,,,,,1.73437,0.66527,,,,1.88931,,,,,460.665715122,,1.71501,0.00041026243746280074,2.10367,0.00041026243746280074,,,1.65147,,,,,,0.00041026243746280074,,1.7604,0.5108,,,0.29924,,,,distill,1337,distill_seed1337,29
,30,,0.58901,1780035057.6369412,,,,,1.62733,0.62632,,,,1.87229,,,,,474.110093373,,1.68805,0.0004041944957791117,2.03422,0.0004041944957791117,,,1.62283,,,,,,0.0004041944957791117,,1.70343,0.56332,,,0.31066,,,,distill,1337,distill_seed1337,30
,31,,0.58985,1780035070.6911263,,,,,1.66888,0.64378,,,,1.86152,,,,,487.162926192,,1.67935,0.00039797684994238717,2.05142,0.00039797684994238717,,,1.62195,,,,,,0.00039797684994238717,,1.71291,0.53585,,,0.31485,,,,distill,1337,distill_seed1337,31
,32,,0.56188,1780035085.0195942,,,,,1.75721,0.62696,,,,1.86183,,,,,501.457471827,,1.67087,0.00039161563601840233,2.03069,0.00039161563601840233,,,1.62999,,,,,,0.00039161563601840233,,1.69351,0.51364,,,0.29531,,,,distill,1337,distill_seed1337,32
,33,,0.5967,1780035098.8683748,,,,,1.64217,0.63034,,,,1.86074,,,,,515.430867625,,1.6611,0.00038511713175730166,1.99904,0.00038511713175730166,,,1.60771,,,,,,0.00038511713175730166,,1.67432,0.55208,,,0.31978,,,,distill,1337,distill_seed1337,33
,34,,0.6027,1780035111.6929657,,,,,1.64009,0.66857,,,,1.84278,,,,,528.198978985,,1.61709,0.00037848775039821687,2.01,0.00037848775039821687,,,1.60074,,,,,,0.00037848775039821687,,1.67063,0.54862,,,0.32375,,,,distill,1337,distill_seed1337,34
,35,,0.5877,1780035124.0201318,,,,,1.68257,0.61311,,,,1.8398,,,,,540.565349729,,1.62075,0.0003717340343401745,2.02914,0.0003717340343401745,,,1.59762,,,,,,0.0003717340343401745,,1.68984,0.56863,,,0.3153,,,,distill,1337,distill_seed1337,35
,36,,0.57557,1780035136.9835353,,,,,1.66833,0.59745,,,,1.8263,,,,,555.935736671,,1.60254,0.0003648626486855379,2.00706,0.0003648626486855379,,,1.58103,,,,,,0.0003648626486855379,,1.66295,0.56148,,,0.31035,,,,distill,1337,distill_seed1337,36
