train_batch2,train/dfl_loss,PR_curve,val/dfl_loss,val_batch2_pred,train_batch1,F1_curve,lr/pg0,metrics/mAP50-95(B),model/parameters,train/box_loss,val_batch0_labels,val_batch2_labels,_step,results,R_curve,_runtime,labels,_timestamp,metrics/recall(B),model/speed_PyTorch(ms),curves/Precision-Confidence(B)_table,confusion_matrix,metrics/mAP50(B),lr/pg2,val/box_loss,curves/F1-Confidence(B)_table,lr/pg1,curves/Recall-Confidence(B)_table,model/GFLOPs,val_batch1_pred,metrics/precision(B),confusion_matrix_normalized,train/cls_loss,val_batch0_pred,curves/Precision-Recall(B)_table,train_batch0,P_curve,val_batch1_labels,val/cls_loss,variant,seed,run_name,epoch
,1.94171,,2.22893,,,,0.0004161746866676038,0.38142,,1.37009,,,28,,,1410.91026425,,1779997022.0229568,0.63004,,,,0.67358,0.0004161746866676038,1.54932,,0.0004161746866676038,,,,0.67073,,1.30647,,,,,,1.40807,p2,42,p2_seed42,28
,1.92861,,2.21251,,,,0.00041026243746280074,0.38067,,1.3529,,,29,,,1459.315204316,,1779997070.9043386,0.61067,,,,0.64966,0.00041026243746280074,1.52168,,0.00041026243746280074,,,,0.68338,,1.28487,,,,,,1.4366,p2,42,p2_seed42,29
,1.92327,,2.20037,,,,0.0004041944957791117,0.39676,,1.3342,,,30,,,1507.734127905,,1779997119.354353,0.63378,,,,0.67815,0.0004041944957791117,1.49708,,0.0004041944957791117,,,,0.69689,,1.26137,,,,,,1.32029,p2,42,p2_seed42,30
,1.91468,,2.2045,,,,0.00039797684994238717,0.39007,,1.34506,,,31,,,1554.883411026,,1779997166.380021,0.62453,,,,0.66992,0.00039797684994238717,1.50479,,0.00039797684994238717,,,,0.70895,,1.24746,,,,,,1.37444,p2,42,p2_seed42,31
,1.91301,,2.22751,,,,0.00039161563601840233,0.38322,,1.32605,,,32,,,1601.747662407,,1779997213.4647655,0.61622,,,,0.67118,0.00039161563601840233,1.50284,,0.00039161563601840233,,,,0.71644,,1.22258,,,,,,1.40634,p2,42,p2_seed42,32
,1.89829,,2.21423,,,,0.00038511713175730166,0.40079,,1.31251,,,33,,,1650.491397906,,1779997260.4359565,0.64044,,,,0.69542,0.00038511713175730166,1.51772,,0.00038511713175730166,,,,0.7363,,1.21372,,,,,,1.32274,p2,42,p2_seed42,33
,1.89101,,2.22722,,,,0.00037848775039821687,0.38867,,1.29709,,,34,,,1697.519094354,,1779997309.093631,0.64061,,,,0.66758,0.00037848775039821687,1.53799,,0.00037848775039821687,,,,0.67737,,1.19594,,,,,,1.34874,p2,42,p2_seed42,34
,1.87237,,2.2279,,,,0.0003717340343401745,0.41057,,1.28983,,,35,,,1744.972337703,,1779997356.2944655,0.65746,,,,0.69976,0.0003717340343401745,1.51903,,0.0003717340343401745,,,,0.70116,,1.16712,,,,,,1.26644,p2,42,p2_seed42,35
,1.86493,,2.22198,,,,0.0003648626486855379,0.39114,,1.27193,,,36,,,1795.310448571,,1779997403.5664463,0.6252,,,,0.6781,0.0003648626486855379,1.52212,,0.0003648626486855379,,,,0.74079,,1.15207,,,,,,1.33417,p2,42,p2_seed42,36
,1.8587,,2.1916,,,,0.00035788037466235543,0.41275,,1.27271,,,37,,,1843.156543669,,1779997454.1088848,0.66268,,,,0.70164,0.00035788037466235543,1.51572,,0.00035788037466235543,,,,0.70238,,1.1331,,,,,,1.27077,p2,42,p2_seed42,37
,1.84021,,2.23518,,,,0.0003507941029321082,0.4012,,1.25289,,,38,,,1890.420516134,,1779997501.7880254,0.62518,,,,0.68018,0.0003507941029321082,1.51485,,0.0003507941029321082,,,,0.70427,,1.11656,,,,,,1.32811,p2,42,p2_seed42,38
